,CustomerID,Recency,Frequency,Monetory,Loyality_badge
65,67,26,284,798062.0,Platinum
66,68,10,92,400340.0,Platinum
67,69,45,10,27584.0,Silver
68,70,38,233,794032.0,Platinum
69,71,43,107,526849.0,Platinum
70,72,1,418,1864111.0,Platinum
71,73,85,50,99632.0,Gold
72,74,80,36,896714.0,Gold
73,75,102,15,52453.0,Silver
74,76,3,184,566503.0,Platinum
75,77,15,96,304853.0,Platinum
76,78,367,10,21144.0,Bronze
77,79,4,11,21598.0,Silver
78,80,22,172,463081.0,Platinum
79,81,25,3,9948.0,Silver
80,82,58,57,117966.0,Gold
81,83,244,25,53855.0,Silver
82,84,45,21,48432.0,Gold
83,85,23,186,433797.0,Platinum
84,86,163,8,26814.0,Bronze
85,87,12,349,1220918.0,Platinum
86,88,17,20,41312.0,Gold
87,89,135,43,95624.0,Gold
88,90,57,15,389836.0,Gold
89,91,74,85,335450.0,Gold
90,92,45,122,331818.0,Platinum
91,93,73,60,251417.0,Gold
92,94,73,36,108842.0,Gold
93,95,155,34,76450.0,Silver
94,96,19,59,122844.0,Platinum
95,97,54,79,164513.0,Gold
96,98,11,22,99624.0,Gold
97,99,19,45,88594.0,Platinum
98,100,188,36,85862.0,Silver
99,101,3,435,2040345.0,Platinum
100,102,33,331,818731.0,Platinum
101,103,54,161,391713.0,Platinum
102,104,18,406,914635.0,Platinum
103,105,54,35,95322.0,Gold
104,106,16,224,724773.0,Platinum
105,107,23,300,1499405.0,Platinum
106,108,4,35,68029.0,Gold
107,109,12,30,63304.0,Gold
108,110,29,149,373287.0,Platinum
109,111,23,208,670848.0,Platinum
110,112,18,68,249088.0,Platinum
111,113,36,340,506613.0,Platinum
112,114,10,54,155349.0,Platinum
113,115,337,14,35243.0,Bronze
114,116,6,233,627642.0,Platinum
115,117,39,25,57912.0,Gold
116,118,65,18,32436.0,Silver
117,119,166,21,52584.0,Silver
118,120,16,70,143036.0,Platinum
119,121,82,13,162800.0,Silver
120,122,22,21,41174.0,Gold
121,123,24,52,544504.0,Platinum
122,124,337,144,275835.0,Gold
123,125,96,142,335427.0,Platinum
124,127,19,8,46139.0,Gold
125,129,234,23,8398.0,Bronze
126,130,135,20,136785.0,Gold
127,131,27,69,53515.0,Gold
128,132,288,6,17688.0,Bronze
129,133,145,31,100745.0,Silver
130,134,67,34,18915.0,Silver
131,135,113,34,79676.0,Silver
132,136,268,51,125408.0,Gold
133,137,354,15,35685.0,Bronze
134,138,78,24,160118.0,Gold
135,139,29,280,301795.0,Platinum
136,140,1,119,253627.0,Platinum
137,141,65,17,35580.0,Bronze
138,142,80,147,311756.0,Platinum
139,143,143,37,68427.0,Silver
140,144,40,10,29723.0,Silver
141,145,20,102,212349.0,Platinum
142,146,15,136,593226.0,Platinum
143,147,1,68,151615.0,Platinum
144,148,86,17,46012.0,Silver
145,149,10,86,204647.0,Platinum
146,150,60,62,191646.0,Gold
147,151,15,17,14983.0,Silver
148,152,31,15,38806.0,Silver
149,153,131,62,131589.0,Gold
150,154,92,34,85411.0,Silver
151,155,60,253,568488.0,Platinum
152,156,30,21,45271.0,Gold
153,157,23,273,662579.0,Platinum
154,158,20,458,1493357.0,Platinum
155,159,30,49,119829.0,Gold
156,160,37,18,36682.0,Silver
157,161,76,48,109849.0,Gold
158,162,47,67,134154.0,Gold
159,163,207,6,21996.0,Bronze
160,164,167,4,8088.0,Bronze
161,165,80,55,110696.0,Gold
162,166,358,10,21970.0,Bronze
163,167,40,19,38249.0,Silver
164,168,9,182,424920.0,Platinum
165,169,51,120,77441.0,Gold
166,170,21,27,544128.0,Gold
167,171,9,11,38522.0,Silver
168,172,314,20,66350.0,Silver
169,173,6,101,239340.0,Platinum
170,174,304,16,29545.0,Bronze
171,175,10,161,426744.0,Platinum
172,176,263,20,46932.0,Silver
173,177,289,9,18526.0,Bronze
174,178,87,18,43596.0,Silver
175,179,23,438,1068073.0,Platinum
176,180,4,157,403568.0,Platinum
177,181,40,34,80348.0,Gold
178,182,9,58,112008.0,Platinum
179,183,228,28,19601.0,Bronze
180,184,316,10,21914.0,Bronze
181,185,36,87,178072.0,Gold
182,186,36,146,91914.0,Platinum
183,187,22,110,302159.0,Platinum
184,188,79,28,51894.0,Silver
185,189,247,23,48818.0,Silver
186,190,40,14,26300.0,Silver
187,191,239,20,49548.0,Silver
188,192,3,232,940065.0,Platinum
189,193,6,95,245289.0,Platinum
190,194,235,84,250912.0,Gold
191,195,18,11,21761.0,Silver
192,196,9,3,11840.0,Silver
193,197,40,9,19257.0,Silver
194,198,30,33,72872.0,Gold
195,199,212,67,1126330.0,Gold
196,200,318,25,48876.0,Silver
197,201,94,16,56894.0,Silver
198,202,110,20,49189.0,Silver
199,203,47,113,403483.0,Platinum
200,204,52,25,73777.0,Gold
201,205,20,200,427493.0,Platinum
202,206,10,127,381333.0,Platinum
203,207,30,55,136620.0,Gold
204,208,29,54,266897.0,Platinum
205,209,192,23,61550.0,Silver
206,210,60,12,22148.0,Bronze
207,211,25,1,66584.0,Silver
208,212,81,15,32404.0,Bronze
209,214,61,100,219562.0,Gold
210,215,79,57,128931.0,Gold
211,216,24,102,225048.0,Platinum
212,217,53,65,163374.0,Gold
213,218,75,18,78896.0,Silver
214,219,58,149,390308.0,Platinum
215,220,278,20,35371.0,Bronze
216,221,3,101,273666.0,Platinum
217,222,96,30,76578.0,Silver
218,223,30,42,45614.0,Gold
219,224,22,10,17462.0,Silver
220,225,18,82,465339.0,Platinum
221,226,15,90,189746.0,Platinum
222,227,2,448,1583325.0,Platinum
223,228,233,10,19714.0,Bronze
224,229,277,17,34377.0,Bronze
225,230,107,36,74810.0,Silver
226,231,212,83,310392.0,Gold
227,232,24,282,749175.0,Platinum
228,233,11,224,547037.0,Platinum
229,234,5,38,94297.0,Gold
230,235,10,62,133115.0,Platinum
231,236,58,30,59362.0,Silver
232,237,59,97,255699.0,Gold
233,238,90,97,204506.0,Gold
234,239,68,386,744020.0,Platinum
235,240,34,38,83074.0,Gold
236,241,239,20,42981.0,Silver
237,242,25,50,111655.0,Gold
238,243,116,9,17803.0,Bronze
239,244,27,44,117382.0,Gold
240,245,130,17,291394.0,Gold
241,246,130,31,67129.0,Silver
242,247,34,69,212202.0,Platinum
243,248,5,45,182772.0,Platinum
244,249,23,109,391483.0,Platinum
245,250,155,20,35705.0,Bronze
246,251,108,29,80028.0,Silver
247,252,4,19,35984.0,Gold
248,253,336,9,16065.0,Bronze
249,254,332,46,99656.0,Gold
250,255,149,43,266350.0,Gold
251,256,13,34,65543.0,Gold
252,257,19,121,451870.0,Platinum
253,258,12,44,188592.0,Platinum
254,259,19,35,77407.0,Gold
255,260,31,4,11160.0,Silver
256,261,13,12,30294.0,Silver
257,262,1,220,458759.0,Platinum
258,263,10,28,511104.0,Platinum
259,264,333,2,6252.0,Bronze
260,266,59,32,70122.0,Silver
261,267,12,157,393219.0,Platinum
262,268,151,98,200790.0,Gold
263,269,11,87,350458.0,Platinum
264,270,331,10,26968.0,Bronze
265,271,6,41,76200.0,Gold
266,272,40,79,245256.0,Platinum
267,273,26,39,147640.0,Gold
268,274,43,156,2011928.0,Platinum
269,275,60,44,123406.0,Gold
270,276,1,49,97967.0,Platinum
271,277,16,612,1600209.0,Platinum
272,278,4,494,1392716.0,Platinum
273,279,5,330,998957.0,Platinum
274,280,11,98,323115.0,Platinum
275,281,29,149,325723.0,Platinum
276,282,375,6,11570.0,Bronze
277,283,114,170,626894.0,Platinum
278,284,26,70,148131.0,Gold
279,285,206,15,39598.0,Bronze
280,286,36,27,114558.0,Gold
281,287,128,35,83193.0,Silver
282,288,71,35,103693.0,Gold
283,289,9,27,69255.0,Gold
284,290,29,38,101799.0,Gold
285,291,8,263,612488.0,Platinum
286,292,80,51,100749.0,Gold
287,293,20,11,23052.0,Silver
288,294,72,20,33674.0,Silver
289,295,9,81,235070.0,Platinum
290,296,16,328,847355.0,Platinum
291,297,292,33,72796.0,Silver
292,298,33,147,305092.0,Platinum
293,299,16,202,1145680.0,Platinum
294,300,97,74,146330.0,Gold
295,301,29,120,440270.0,Platinum
296,302,1,37,106928.0,Gold
297,303,10,252,572565.0,Platinum
298,304,107,20,37608.0,Silver
299,305,4,67,131467.0,Platinum
300,306,152,52,108345.0,Gold
301,307,72,18,32715.0,Silver
302,308,6,37,76914.0,Gold
303,309,3,340,744254.0,Platinum
304,310,32,155,335926.0,Platinum
305,311,90,52,129420.0,Gold
306,312,4,66,90067.0,Platinum
307,313,7,49,115089.0,Platinum
308,314,372,23,43142.0,Silver
309,315,29,117,390149.0,Platinum
310,316,11,132,443366.0,Platinum
311,317,72,42,91772.0,Gold
312,318,114,25,55630.0,Silver
313,319,24,273,2308964.0,Platinum
314,320,180,11,26680.0,Bronze
315,321,235,22,43360.0,Silver
316,322,356,4,17596.0,Bronze
317,323,317,41,87299.0,Silver
318,324,333,3,24024.0,Bronze
319,325,373,10,21355.0,Bronze
320,326,100,37,122634.0,Gold
321,327,64,27,62408.0,Silver
322,328,135,134,67823.0,Gold
323,329,57,215,1189651.0,Platinum
324,330,3,103,479956.0,Platinum
325,331,1,4557,4451753.0,Platinum
326,332,4,199,492592.0,Platinum
327,333,129,15,33848.0,Bronze
328,334,82,53,561920.0,Gold
329,335,23,197,2709712.0,Platinum
330,336,236,62,552450.0,Gold
331,337,282,3,1956.0,Bronze
332,338,87,4,21072.0,Bronze
333,339,16,364,550323.0,Platinum
334,340,117,97,375967.0,Gold
335,341,53,92,178480.0,Gold
336,342,8,66,225210.0,Platinum
337,343,141,18,62484.0,Silver
338,344,317,45,186675.0,Gold
339,345,4,306,822597.0,Platinum
340,346,239,32,132446.0,Silver
341,347,212,11,166142.0,Silver
342,348,60,54,103103.0,Gold
343,349,19,61,170308.0,Platinum
344,350,20,44,117303.0,Gold
345,351,38,149,494826.0,Platinum
346,352,64,24,103856.0,Gold
347,353,5,98,242916.0,Platinum
348,354,3,78,161072.0,Platinum
349,355,16,58,67068.0,Gold
350,356,365,13,31331.0,Bronze
351,357,12,17,57822.0,Gold
352,358,69,3,7771.0,Bronze
353,359,193,20,38140.0,Bronze
354,360,375,1,27360.0,Bronze
355,361,257,23,43254.0,Silver
356,362,335,22,63051.0,Silver
357,363,54,45,116840.0,Gold
358,364,19,13,34491.0,Silver
359,365,369,12,27371.0,Bronze
360,366,173,6,267792.0,Silver
361,367,187,23,51302.0,Silver
362,368,40,27,55433.0,Gold
363,369,178,24,49030.0,Silver
364,370,263,28,57589.0,Silver
365,371,45,15,32596.0,Silver
366,372,103,1,11952.0,Bronze
367,373,149,45,106741.0,Gold
368,374,96,27,51582.0,Silver
369,375,284,3,15336.0,Bronze
370,376,262,13,149350.0,Silver
371,377,4,58,128566.0,Platinum
372,378,216,6,12198.0,Bronze
373,379,72,46,124896.0,Gold
374,380,80,5,187830.0,Silver
375,381,60,25,51028.0,Silver
376,382,3,91,195875.0,Platinum
377,383,9,24,54658.0,Gold
378,384,6,56,125062.0,Platinum
379,385,337,11,51269.0,Bronze
380,386,40,36,1028696.0,Gold
381,387,263,9,28791.0,Bronze
382,388,33,27,48021.0,Gold
383,389,146,23,47787.0,Silver
384,390,283,18,37240.0,Bronze
385,391,60,175,315762.0,Platinum
386,392,174,12,14774.0,Bronze
387,393,34,122,85885.0,Gold
388,394,3,314,752717.0,Platinum
389,395,144,113,352477.0,Gold
390,396,5,419,547336.0,Platinum
391,397,71,34,140634.0,Gold
392,398,74,103,208013.0,Gold
393,399,30,52,39466.0,Gold
394,400,271,27,43628.0,Silver
395,401,23,90,126737.0,Gold
396,402,32,49,134920.0,Gold
397,403,97,50,18150.0,Silver
398,404,295,17,39266.0,Bronze
399,405,135,78,233792.0,Gold
400,406,80,110,163559.0,Gold
401,407,373,3,4728.0,Bronze
402,408,8,314,277211.0,Platinum
403,409,211,46,123904.0,Gold
404,410,54,5,61048.0,Silver
405,411,140,3,31152.0,Bronze
406,412,27,93,202457.0,Gold
407,413,284,25,59304.0,Silver
408,414,27,534,627034.0,Platinum
409,415,186,107,208612.0,Gold
410,417,85,11,44518.0,Silver
411,418,327,65,72987.0,Silver
412,419,283,4,44744.0,Bronze
413,420,150,1,30846.0,Bronze
414,421,58,83,308777.0,Gold
415,422,4,154,214162.0,Platinum
416,423,237,47,115511.0,Gold
417,424,47,10,72222.0,Silver
418,425,276,7,30694.0,Bronze
419,426,10,13,156624.0,Gold
420,427,25,42,78180.0,Gold
421,428,89,7,32195.0,Bronze
422,429,64,70,153034.0,Gold
423,430,68,82,176674.0,Gold
424,431,220,5,39880.0,Bronze
425,432,25,82,49953.0,Gold
426,433,191,3,76050.0,Bronze
427,434,31,34,23974.0,Silver
428,435,45,22,48139.0,Gold
429,436,205,4,27084.0,Bronze
430,437,14,107,1296156.0,Platinum
431,438,267,10,17244.0,Bronze
432,439,19,72,67161.0,Gold
433,440,12,63,373610.0,Platinum
434,441,185,2,132600.0,Silver
435,442,40,91,284709.0,Platinum
436,443,25,75,393252.0,Platinum
437,444,7,24,197798.0,Gold
438,445,5,50,314931.0,Platinum
439,446,149,22,39997.0,Silver
440,447,139,107,354411.0,Platinum
441,448,131,2,68520.0,Silver
442,449,10,50,168147.0,Platinum
443,450,18,28,23752.0,Gold
444,451,10,720,2133743.0,Platinum
445,452,162,28,53858.0,Silver
446,453,65,28,20657.0,Silver
447,454,89,29,113428.0,Gold
448,455,5,45,90726.0,Platinum
449,456,37,84,297164.0,Platinum
450,457,312,8,13523.0,Bronze
451,458,79,25,55359.0,Silver
452,459,22,69,3224042.0,Platinum
453,460,25,105,82579.0,Gold
454,461,3,129,307571.0,Platinum
455,462,18,62,141502.0,Platinum
456,463,16,120,200553.0,Platinum
457,464,27,9,19458.0,Silver
458,465,66,47,1406976.0,Gold
459,466,55,99,109997.0,Gold
460,467,132,75,77673.0,Gold
461,469,36,30,73898.0,Gold
462,470,289,23,56428.0,Silver
463,471,145,97,218908.0,Gold
464,472,17,116,267713.0,Platinum
465,473,31,214,542089.0,Platinum
466,474,3,23,235382.0,Platinum
467,475,10,63,129620.0,Platinum
468,476,6,79,171197.0,Platinum
469,477,10,17,38045.0,Silver
470,478,2,179,661500.0,Platinum
471,479,307,19,12774.0,Bronze
472,480,10,238,520996.0,Platinum
473,481,8,16,34125.0,Silver
474,482,9,95,231113.0,Platinum
475,483,90,108,93603.0,Gold
476,484,11,10,19526.0,Silver
477,485,364,19,192206.0,Silver
478,486,113,5,17062.0,Bronze
479,487,8,150,60324.0,Platinum
480,488,5,305,1610541.0,Platinum
481,489,198,8,15351.0,Bronze
482,490,212,22,106980.0,Silver
483,491,158,9,4438.0,Bronze
484,492,165,20,772662.0,Gold
485,493,30,20,52852.0,Gold
486,494,243,28,52752.0,Silver
487,495,21,4,10454.0,Silver
488,496,1,75,218858.0,Platinum
489,497,74,28,70316.0,Silver
490,498,293,92,60365.0,Silver
491,499,6,63,696022.0,Platinum
492,500,35,13,48380.0,Silver
493,501,24,31,70444.0,Gold
494,502,25,27,53197.0,Gold
495,503,5,61,118755.0,Platinum
496,504,89,3,27288.0,Bronze
497,505,23,59,156353.0,Gold
498,506,197,28,63967.0,Silver
499,507,109,31,69528.0,Silver
500,508,6,337,1296539.0,Platinum
501,509,320,7,16994.0,Bronze
502,510,109,6,19676.0,Bronze
503,511,12,403,798875.0,Platinum
504,512,174,26,60476.0,Silver
505,513,57,4,10097.0,Bronze
506,514,324,14,32853.0,Bronze
507,515,375,3,5701.0,Bronze
508,516,10,89,212994.0,Platinum
509,517,3,218,579175.0,Platinum
510,518,11,110,394009.0,Platinum
511,519,54,176,425084.0,Platinum
512,520,74,46,103112.0,Gold
513,521,10,1,23040.0,Silver
514,522,18,458,1009377.0,Platinum
515,523,5,131,337026.0,Platinum
516,524,65,38,70742.0,Silver
517,525,2,40,185880.0,Gold
518,526,119,19,834000.0,Gold
519,527,23,45,104796.0,Gold
520,528,35,10,132814.0,Gold
521,529,12,99,100562.0,Platinum
522,530,53,71,118006.0,Gold
523,531,358,11,24175.0,Bronze
524,532,55,37,82142.0,Silver
525,533,74,27,128518.0,Gold
526,534,139,48,109939.0,Gold
527,535,81,28,108902.0,Gold
528,536,9,43,88356.0,Platinum
529,537,276,13,67660.0,Bronze
530,538,292,33,75834.0,Silver
531,539,100,18,41435.0,Silver
532,540,31,34,73437.0,Gold
533,541,57,170,401089.0,Platinum
534,542,16,136,247682.0,Platinum
535,543,67,14,82962.0,Silver
536,544,15,401,773258.0,Platinum
537,545,213,18,46836.0,Silver
538,546,79,76,168041.0,Gold
539,547,29,8,29432.0,Silver
540,548,250,8,20052.0,Bronze
541,549,255,15,35544.0,Bronze
542,550,73,10,29825.0,Bronze
543,551,192,11,43666.0,Bronze
544,552,13,69,134493.0,Platinum
545,553,374,14,23751.0,Bronze
546,554,25,48,64095.0,Gold
547,555,83,15,13569.0,Bronze
548,556,13,2,48200.0,Gold
549,557,1,424,680596.0,Platinum
550,558,194,9,29490.0,Bronze
551,559,268,7,20586.0,Bronze
552,560,130,22,111700.0,Gold
553,561,2,112,106117.0,Platinum
554,562,4,358,1520127.0,Platinum
555,563,8,6,25582.0,Silver
556,564,183,6,12288.0,Bronze
557,565,12,1017,3787033.0,Platinum
558,566,129,72,484681.0,Gold
559,567,6,18,40408.0,Gold
560,568,158,22,50639.0,Silver
561,569,5,1813,7466473.0,Platinum
562,570,10,154,1004918.0,Platinum
563,571,29,21,56354.0,Gold
564,572,71,25,59507.0,Silver
565,573,279,159,982668.0,Gold
566,574,27,24,285738.0,Gold
567,575,71,6,16392.0,Bronze
568,576,33,423,726857.0,Platinum
569,577,2,571,3676419.0,Platinum
570,578,108,1,39456.0,Silver
571,579,239,8,16092.0,Bronze
572,580,5,304,852787.0,Platinum
573,581,41,8,29308.0,Silver
574,582,6,20,136536.0,Gold
575,583,135,1,9216.0,Bronze
576,584,47,58,216469.0,Platinum
577,585,373,10,52288.0,Bronze
578,586,60,46,102056.0,Gold
579,587,33,145,168187.0,Platinum
580,588,1,200,1192888.0,Platinum
581,589,12,120,313154.0,Platinum
582,590,140,30,61584.0,Silver
583,591,24,76,143247.0,Gold
584,592,20,79,136583.0,Gold
585,593,246,1,4212.0,Bronze
586,594,270,50,39881.0,Silver
587,595,103,53,117991.0,Gold
588,596,90,234,488195.0,Platinum
589,597,5,140,318879.0,Platinum
590,598,78,15,32308.0,Bronze
591,599,98,2,8280.0,Bronze
592,600,25,44,135149.0,Gold
593,601,268,3,9126.0,Bronze
594,602,275,7,12965.0,Bronze
595,603,86,97,227707.0,Gold
596,605,58,127,321521.0,Platinum
597,606,11,698,478106.0,Platinum
598,607,24,63,124103.0,Gold
599,608,19,169,624851.0,Platinum
600,609,109,46,52298.0,Gold
601,610,85,133,308889.0,Platinum
602,611,20,23,41122.0,Gold
603,612,333,3,12651.0,Bronze
604,613,46,6,69154.0,Silver
605,614,27,17,32337.0,Silver
606,615,12,4,74760.0,Gold
607,616,30,318,466855.0,Platinum
608,617,15,86,235562.0,Platinum
609,618,296,74,147084.0,Gold
610,619,7,15,69282.0,Gold
611,621,37,85,122707.0,Gold
612,622,50,87,252700.0,Platinum
613,623,95,78,153899.0,Gold
614,624,9,121,200102.0,Platinum
615,625,24,4,11140.0,Silver
616,626,314,8,12868.0,Bronze
617,627,123,79,254608.0,Gold
618,628,47,42,170950.0,Gold
619,629,284,41,52235.0,Silver
620,630,19,64,123152.0,Platinum
621,631,38,131,166024.0,Platinum
622,632,66,13,84480.0,Silver
623,633,27,32,19853.0,Silver
624,634,22,46,57669.0,Gold
625,635,5,43,47669.0,Gold
626,636,17,313,357322.0,Platinum
627,637,47,72,74846.0,Gold
628,638,65,17,32082.0,Bronze
629,639,27,264,763614.0,Platinum
630,640,46,11,24002.0,Silver
631,641,10,94,499138.0,Platinum
632,642,15,179,241672.0,Platinum
633,643,271,1,7248.0,Bronze
634,644,40,79,201292.0,Gold
635,645,338,37,26919.0,Bronze
636,646,14,2,12186.0,Silver
637,647,19,29,61660.0,Gold
638,648,96,63,126061.0,Gold
639,649,62,29,14015.0,Silver
640,650,142,3,8028.0,Bronze
641,651,13,110,239038.0,Platinum
642,652,11,226,471808.0,Platinum
643,653,6,118,1321448.0,Platinum
644,654,24,46,113940.0,Gold
645,655,11,57,128322.0,Platinum
646,656,16,8,34464.0,Silver
647,657,60,146,158156.0,Gold
648,658,31,315,777462.0,Platinum
649,659,94,22,47372.0,Silver
650,660,11,56,164951.0,Platinum
651,661,20,141,94349.0,Platinum
652,662,57,89,226183.0,Gold
653,663,272,5,46468.0,Bronze
654,664,132,4,66686.0,Silver
655,665,129,5,10088.0,Bronze
656,666,80,21,89601.0,Gold
657,667,241,65,95565.0,Gold
658,668,201,5,21256.0,Bronze
659,669,61,106,284855.0,Platinum
660,670,4,32,805712.0,Platinum
661,671,274,16,13306.0,Bronze
662,672,202,9,31091.0,Bronze
663,673,84,2,43800.0,Silver
664,674,226,10,19720.0,Bronze
665,675,5,608,362316.0,Platinum
666,676,13,206,167592.0,Platinum
667,677,76,43,107940.0,Gold
668,678,213,58,126192.0,Gold
669,679,26,36,95040.0,Gold
670,680,22,31,79210.0,Gold
671,681,262,22,49778.0,Silver
672,682,97,66,81157.0,Gold
673,683,114,13,34020.0,Bronze
674,684,204,58,73521.0,Silver
675,685,93,27,13856.0,Silver
676,686,51,16,47933.0,Silver
677,687,19,141,282471.0,Platinum
678,688,23,25,68532.0,Gold
679,689,127,26,58820.0,Silver
680,690,94,23,102696.0,Gold
681,691,157,36,189436.0,Silver
682,692,10,13,50530.0,Gold
683,694,12,38,84236.0,Gold
684,695,62,86,35184.0,Silver
685,696,62,8,64478.0,Silver
686,697,269,9,106684.0,Silver
687,698,264,11,25323.0,Bronze
688,699,2,1662,986014.0,Platinum
689,700,54,91,290524.0,Gold
690,701,12,187,615524.0,Platinum
691,702,3,210,549618.0,Platinum
692,703,18,437,511974.0,Platinum
693,704,4,314,715806.0,Platinum
694,705,372,1,59200.0,Bronze
695,706,38,96,34150.0,Gold
696,707,34,15,30719.0,Silver
697,708,114,16,19557.0,Bronze
698,709,65,30,66685.0,Silver
699,710,20,8,33994.0,Silver
700,711,41,46,79793.0,Gold
701,712,80,9,16870.0,Bronze
702,713,123,84,107015.0,Gold
703,714,19,37,127700.0,Gold
704,715,60,7,13802.0,Bronze
705,716,331,13,25128.0,Bronze
706,717,24,186,373367.0,Platinum
707,718,156,42,47935.0,Silver
708,719,39,31,72750.0,Gold
709,720,190,54,112077.0,Gold
710,721,362,10,23126.0,Bronze
711,722,141,5,12246.0,Bronze
712,723,8,59,256847.0,Platinum
713,724,3,2,38352.0,Silver
714,725,270,5,15960.0,Bronze
715,726,170,20,48101.0,Silver
716,727,105,80,77434.0,Gold
717,728,162,1,6745.0,Bronze
718,729,352,21,41429.0,Silver
719,730,5,81,261766.0,Platinum
720,731,130,1,1800.0,Bronze
721,732,23,54,167779.0,Gold
722,733,8,107,224304.0,Platinum
723,734,29,72,138802.0,Gold
724,735,6,26,75785.0,Gold
725,736,23,78,199013.0,Gold
726,737,2,62,109778.0,Platinum
727,738,38,86,762070.0,Platinum
728,739,67,124,275939.0,Platinum
729,740,4,20,79626.0,Gold
730,741,6,475,1316828.0,Platinum
731,742,79,106,211099.0,Platinum
732,743,78,11,80554.0,Silver
733,744,18,25,24036.0,Gold
734,745,4,21,86097.0,Gold
735,746,39,74,928678.0,Platinum
736,747,83,12,79199.0,Silver
737,748,39,108,439215.0,Platinum
738,749,318,17,167132.0,Silver
739,750,32,17,102983.0,Gold
740,751,93,53,147831.0,Gold
741,752,15,21,44904.0,Gold
742,753,83,267,441209.0,Platinum
743,754,78,51,109009.0,Gold
744,755,158,19,58235.0,Silver
745,756,201,54,102117.0,Gold
746,757,46,134,1312740.0,Platinum
747,758,261,42,94336.0,Gold
748,759,178,19,44053.0,Silver
749,760,68,119,305114.0,Platinum
750,761,288,20,46268.0,Silver
751,762,72,8,43908.0,Silver
752,763,67,14,30222.0,Bronze
753,764,11,16,34641.0,Silver
754,765,17,40,112326.0,Gold
755,766,67,16,43739.0,Silver
756,767,61,24,56354.0,Silver
757,768,72,51,101099.0,Gold
758,769,123,32,81014.0,Silver
759,770,81,41,95269.0,Gold
760,771,258,90,75669.0,Silver
761,772,269,29,57472.0,Silver
762,773,64,23,51525.0,Silver
763,774,10,166,379051.0,Platinum
764,775,18,60,133168.0,Platinum
765,776,72,10,17035.0,Bronze
766,777,34,128,281957.0,Platinum
767,778,52,1,19584.0,Silver
768,779,258,29,76299.0,Silver
769,780,366,14,39044.0,Bronze
770,781,372,38,90979.0,Silver
771,782,90,23,46523.0,Silver
772,783,61,156,418378.0,Platinum
773,784,89,36,100201.0,Gold
774,785,100,53,123629.0,Gold
775,786,27,97,92116.0,Gold
776,787,32,172,466076.0,Platinum
777,788,281,15,29465.0,Bronze
778,789,31,152,532411.0,Platinum
779,790,330,35,68814.0,Silver
780,791,132,35,81321.0,Silver
781,792,12,51,105251.0,Platinum
782,793,75,13,67356.0,Silver
783,794,204,1,6044.0,Bronze
784,795,2,154,368566.0,Platinum
785,796,186,21,47450.0,Silver
786,797,31,43,165080.0,Gold
787,798,73,38,178256.0,Gold
788,799,193,26,63839.0,Silver
789,800,128,39,86108.0,Gold
790,801,18,3,10860.0,Silver
791,802,6,11,30336.0,Silver
792,803,78,26,63686.1,Silver
793,804,3,478,3646310.0,Platinum
794,805,26,28,122598.0,Gold
